agency_cd	gage_id	date	discharge_cfs	qa_flag
USGS	04102533	2015-11-03	2394.87179487179	A
USGS	04102533	2015-11-04	2636.90671031097	A
USGS	04102533	2015-11-05	2598.6906710311	A
USGS	04102533	2015-11-06	2751.55482815057	A
USGS	04102533	2015-11-07	2636.90671031097	A
USGS	04102533	2015-11-08	2458.56519367158	A
USGS	04102533	2015-11-09	2522.25859247136	A
USGS	04102533	2015-11-10	2509.5199127114	A
USGS	04102533	2015-11-11	2547.73595199127	A
USGS	04102533	2015-11-12	2585.95199127114	A
USGS	04102533	2015-11-13	2369.39443535188	A
USGS	04102533	2015-11-14	2662.38406983088	A
USGS	04102533	2015-11-15	2675.12274959083	A
USGS	04102533	2015-11-16	2420.34915439171	A
USGS	04102533	2015-11-17	2356.65575559193	A
USGS	04102533	2015-11-18	2547.73595199127	A
USGS	04102533	2015-11-19	2738.81614839062	A
USGS	04102533	2015-11-20	2382.13311511184	A
USGS	04102533	2015-11-21	2534.99727223131	A
USGS	04102533	2015-11-22	2585.95199127114	A
USGS	04102533	2015-11-23	2636.90671031097	A
USGS	04102533	2015-11-24	2598.6906710311	A
USGS	04102533	2015-11-25	2840.72558647027	A
USGS	04102533	2015-11-26	2394.87179487179	A
USGS	04102533	2015-11-27	2968.11238406983	A
USGS	04102533	2015-11-28	3490.39825422804	A
USGS	04102533	2015-11-29	3413.9661756683	A
USGS	04102533	2015-11-30	3401.22749590835	A
USGS	04102533	2015-12-01	3732.43316966721	A
USGS	04102533	2015-12-02	3554.09165302782	A
USGS	04102533	2015-12-03	3363.01145662848	A
USGS	04102533	2015-12-04	3515.87561374795	A
USGS	04102533	2015-12-05	3006.3284233497	A
USGS	04102533	2015-12-06	3031.80578286961	A
USGS	04102533	2015-12-07	3095.49918166939	A
USGS	04102533	2015-12-08	3261.10201854883	A
USGS	04102533	2015-12-09	2929.89634478996	A
USGS	04102533	2015-12-10	2917.15766503001	A
USGS	04102533	2015-12-11	2726.07746863066	A
USGS	04102533	2015-12-12	2929.89634478996	A
USGS	04102533	2015-12-13	2942.63502454992	A
USGS	04102533	2015-12-14	3120.97654118931	A
USGS	04102533	2015-12-15	3146.45390070922	A
USGS	04102533	2015-12-16	3273.84069830878	A
USGS	04102533	2015-12-17	3095.49918166939	A
USGS	04102533	2015-12-18	3057.28314238952	A
USGS	04102533	2015-12-19	2815.24822695035	A
USGS	04102533	2015-12-20	2917.15766503001	A
USGS	04102533	2015-12-21	2917.15766503001	A
USGS	04102533	2015-12-22	3375.75013638843	A
USGS	04102533	2015-12-23	3898.03600654664	A
USGS	04102533	2015-12-24	4777.00490998363	A
USGS	04102533	2015-12-25	4560.44735406437	A
USGS	04102533	2015-12-26	4305.67375886525	A
USGS	04102533	2015-12-27	4636.87943262411	A
USGS	04102533	2015-12-28	5273.81342062193	A
USGS	04102533	2015-12-29	6815.19367157665	A
USGS	04102533	2015-12-30	7401.17294053464	A
USGS	04102533	2015-12-31	6445.77195853792	A
